project,period,specified_capacity_mw,specified_capacity_mwh
Bhusawal4,2030,500,
Bhusawal5,2030,500,
Bhusawal6,2030,660,
Chandrapur5,2030,500,
Chandrapur6,2030,500,
Chandrapur7,2030,500,
Chandrapur8,2030,500,
Chandrapur9,2030,500,
Khaperkheda3,2030,210,
Khaperkheda4,2030,210,
Khaperkheda5,2030,500,
Koradi10,2030,660,
Koradi8,2030,660,
Koradi9,2030,660,
Nasik6,2030,660,
Paras3,2030,250,
Paras4,2030,250,
Parli6,2030,250,
Parli7,2030,250,
Parli8,2030,250,
Uran_CCGT_APMG,2030,336,
Uran_CCGT_RLNG,2030,336,
Bhira,2030,80,
Koyna_KDPH,2030,36,
Koyna_Stage_1,2030,280,
Koyna_Stage_2,2030,320,
Koyna_Stage_3,2030,320,
Koyna_Stage_4,2030,1000,
Tillari,2030,66,
Bagasse,2030,2500,
SHP,2030,141.8,
Gadarwara,2030,25,
Khargone,2030,50,
KhSTPSII,2030,148,
KSTPS,2030,656,
KSTPSIII,2030,135,
Lara,2030,228,
MaudaI,2030,390.09,
MaudaII,2030,286.45,
SIPAT1,2030,615,
SIPAT2,2030,293,
SolapurI,2030,328,
SolapurII,2030,328,
VSTPI,2030,365,
VSTPII,2030,356,
VSTPIII,2030,296,
VSTPIV,2030,161,
VSTPV,2030,149,
Gandhar,2030,200,
Kawas,2030,204,
Dodson_I,2030,12,
Dodson_II,2030,34,
Pench,2030,53,
Sardar_Sarovar_CHPH,2030,67.5,
KAPP,2030,150,
TAPP_1_2,2030,160,
TAPP_3_4,2030,438,
Adani_Stage_1_1,2030,660,
Adani_Stage_1_2,2030,660,
Adani_Stage_2_1,2030,660,
Adani_Stage_2_2,2030,660,
Adani_Stage_2_445_MW,2030,445,
Emco,2030,200,
IndiaBulls_1,2030,270,
IndiaBulls_2,2030,270,
IndiaBulls_3,2030,270,
IndiaBulls_4,2030,270,
IndiaBulls_Balance,2030,120,
JSW,2030,300,
Tata_Mundra,2030,800,
Market_NonPeak,2030,2000,
Market_Peak,2030,2000,
Ghatghar,2030,250,778
Sardar_Sarovar_RBPH_PSP,2030,324,2160
Solar_Existing,2030,842,
Solar_Fixed_Tilt,2030,3175.437573,
Solar_Single_Axis,2030,24622.90121,
Wind_Existing,2030,3641,
Wind_New,2030,17574.44402,
BESS_4_hr_Exo,2030,2500,10000
BESS_6_hr_Exo,2030,3000,18000
